,Unnamed: 0,OlfN,TotalN,Tokens,OAI,OSI
30,n't_RB,157,485391,"[""n't_RB""]",-11.594167084187212,6.858139419883772
53,french_JJ,16,22605,['french_JJ'],-10.464354297206343,10.1527601687754
118,'s_VB,97,382576,"[""'s_VBZ""]",-11.945474004713097,7.552847326588273
119,'re_VB,17,127149,"[""'re_VBP""]",-12.868697748767664,10.06529732752506
120,'ve_VB,13,104670,"[""'ve_VBP""]",-12.975048759661801,10.452320450634307
129,ca_MD,23,49576,['ca_MD'],-11.073792296914597,9.629198212718387
135,diminished_JJ,11,893,['diminished_JJ'],-6.3430847464839255,10.6933285501381
195,'m_VB,10,75959,"[""'m_VBP""]",-12.891005197198771,10.830832073888038
265,sens_NN,47,3703,['sens_NNS'],-6.299889982493992,8.598171317097762
352,wo_MD,8,25043,['wo_MD'],-11.61211977831651,11.152760168775401
380,'ll_MD,18,72720,"[""'ll_MD""]",-11.980139577639155,9.982835167333088
403,others_NN,10,118588,['others_NNS'],-13.533670409531302,10.830832073888038
431,london_NN,8,19593,['london_NNP'],-11.25805069363052,11.152760168775401
436,odour_NN,19,373,"['odour_NN', 'odour_NNS']",-4.295104306811652,9.904832655331814
446,fetid_JJ,9,102,['fetid_JJ'],-3.502500340529183,10.982835167333088
468,'d_MD,10,51923,"[""'d_MD""]",-12.342158026244256,10.830832073888038
611,quigley_NN,8,309,['quigley_NNP'],-5.2714630279043755,11.152760168775401
615,re_NN,12,1765,['re_NN'],-7.200489967437386,10.567797668054245
617,anhydrous_JJ,13,383,['anhydrous_JJ'],-4.8807608637838635,10.452320450634307
