Unnamed: 0,OlfN_x,TotalN_x,Tokens_x,OAI_x,OSI_x,OlfN_y,TotalN_y,Tokens_y,OAI_y,OSI_y
tired_JJ,338,4269,['tired_JJ'],-3.6588030110000003,10.35137053,125,4269,['tired_JJ'],-5.093898163,12.22249547
sad_JJ,342,6169,"['sad_JJ', 'sad_JJR', 'sad_JJS']",-4.172968416000001,10.33439745,115,6169,"['sad_JJ', 'sad_JJR', 'sad_JJS']",-5.74533088,12.342789699999999
weird_JJ,121,2940,"['weird_JJ', 'weird_JJS']",-4.602737202,11.83338672,91,3011,"['weird_JJ', 'weird_JJR', 'weird_JJS']",-5.048232353,12.68048511
terrible_JJ,258,7271,['terrible_JJ'],-4.816710825,10.74102271,90,7271,['terrible_JJ'],-6.336084984,12.69642666
strange_JJ,358,10821,"['strange_JJ', 'strange_JJS']",-4.917730431,10.26843418,233,10821,"['strange_JJ', 'strange_JJS']",-5.537360064,11.32409361
deeply_RB,388,12093,"['deeply_RB', 'deeply_RBR']",-4.961971726,10.15233712,164,12093,"['deeply_RB', 'deeply_RBR']",-6.2043325639999996,11.83072775
smell_VB,88,3703,"['smell_VBZ', 'smell_VBD', 'smell_VB', 'smell_VBN', 'smell_VBP', 'smell_VBG']",-5.395047216,12.29281834,81,3701,"['smell_VBP', 'smell_VBD', 'smell_VB', 'smell_VBG', 'smell_VBN', 'smell_VBZ']",-5.513849417,12.84842975
stupid_JJ,87,3775,['stupid_JJ'],-5.439317432999999,12.30930647,98,3829,"['stupid_JJ', 'stupid_JJS']",-5.288042101,12.57356991
suddenly_RB,297,13000,['suddenly_RB'],-5.451904882000001,10.53793084,135,13000,['suddenly_RB'],-6.589408406,12.11146415
happy_JJ,527,25051,"['happy_JJ', 'happy_JJR', 'happy_JJS']",-5.570921423,9.71059081,214,25051,"['happy_JJ', 'happy_JJR', 'happy_JJS']",-6.871113587999999,11.44681277
bad_JJ,1217,64529,"['bad_JJ', 'bad_JJR', 'bad_JJS']",-5.728546595,8.503136508999999,658,64529,"['bad_JJ', 'bad_JJR', 'bad_JJS']",-6.6157162739999995,9.826335978
odd_JJ,104,5633,"['odd_JJ', 'odd_JJS']",-5.759248038,12.05181024,107,5582,"['odd_JJ', 'odd_JJR']",-5.705099422999999,12.44681277
differently_RB,145,8036,['differently_RB'],-5.792352759,11.57234087,127,8036,['differently_RB'],-5.9835771620000004,12.19959507
really_RB,1840,105443,['really_RB'],-5.840613746,7.906759911,1584,105443,['really_RB'],-6.056747177,8.558923132
pretty_RB,374,23796,['pretty_RB'],-5.9915370029999995,10.2053555,635,23796,['pretty_RB'],-5.2278186810000005,9.87766697
somewhat_RB,292,19038,['somewhat_RB'],-6.0267697479999995,10.5624254,201,19038,['somewhat_RB'],-6.565542615,11.53722806
funny_JJ,89,5822,"['funny_JJ', 'funny_JJS']",-6.031565692999999,12.27651653,158,5946,"['funny_JJ', 'funny_JJS', 'funny_JJR']",-5.233923,11.884499
good_JJ,4809,320345,"['good_JJ', 'good_JJR']",-6.057745736,6.520728751,5246,320345,"['good_JJ', 'good_JJR']",-5.932264855,6.83127766
deep_JJ,500,34230,"['deep_JJ', 'deep_JJR', 'deep_JJS']",-6.097189387,9.786465677,304,34229,"['deep_JJR', 'deep_JJ', 'deep_JJS']",-6.815004011,10.94035224
bit_NN,657,47515,"['bit_NN', 'bit_NNS']",-6.176345849,9.392500401,513,47515,"['bit_NN', 'bit_NNS']",-6.533280392999999,10.18546474
something_NN,1315,102998,['something_NN'],-6.291409713999999,8.391402878,1688,102998,['something_NN'],-5.9311576089999996,8.467180563
definitely_RB,140,10982,['definitely_RB'],-6.293570179,11.62296694,149,10982,['definitely_RB'],-6.203684675,11.96911123
sharp_JJ,121,9662,"['sharp_JJ', 'sharp_JJS', 'sharp_JJR']",-6.319242900000001,11.83338672,147,9662,"['sharp_JJ', 'sharp_JJR', 'sharp_JJS']",-6.038433792999999,11.98860741
right_RB,516,41699,['right_RB'],-6.33649791,9.741022706,523,41699,['right_RB'],-6.31705803,10.15761262
ought_MD,124,10253,['ought_MD'],-6.369562169,11.79805365,153,10253,['ought_MD'],-6.066370637,11.93089191
empty_JJ,114,9665,['empty_JJ'],-6.405664002999999,11.91935995,75,9665,['empty_JJ'],-7.0097353270000005,12.95946106
always_RB,1261,108913,['always_RB'],-6.43246408,8.451897401,1401,108913,['always_RB'],-6.2805754,8.736038512
never_RB,1362,117774,['never_RB'],-6.434150569,8.340738974,888,117774,['never_RB'],-7.05124569,9.393863886
'm_VB,862,75959,"[""'m_VBP""]",-6.461389232999999,9.000705903,1742,75959,"[""'m_VBP""]",-5.446404383,8.421750843
slightly_RB,206,18185,['slightly_RB'],-6.463960778,11.06574943,163,18185,['slightly_RB'],-6.8017331510000005,11.8395516
n't_RB,5371,485391,"[""n't_RB""]",-6.497812827000001,6.361274956,4249,485391,"[""n't_RB""]",-6.835880205,7.135372124
everyone_NN,503,45610,['everyone_NN'],-6.50264796,9.777835372,463,45610,['everyone_NN'],-6.622194166,10.33341137
very_RB,3296,299778,['very_RB'],-6.507034458,7.065749435,2629,299778,['very_RB'],-6.8332365589999995,7.827981325
little_JJ,1196,112844,['little_JJ'],-6.559968512,8.528248288,1023,112844,['little_JJ'],-6.785379756,9.189689322000001
amazing_JJ,99,9595,['amazing_JJ'],-6.598710471,12.12289334,108,9595,['amazing_JJ'],-6.473179589,12.43339225
everybody_NN,102,9945,['everybody_NN'],-6.6073303139999995,12.07982462,126,9945,['everybody_NN'],-6.302475732,12.21099983
quite_RB,579,56993,['quite_RB'],-6.621077577,9.574830424,518,56993,['quite_RB'],-6.781688827000001,10.17147146
moment_NN,408,40503,"['moment_NNS', 'moment_NN']",-6.633315808,10.07982462,345,40503,"['moment_NNS', 'moment_NN']",-6.875288597999999,10.7578272
familiar_JJ,195,19577,['familiar_JJ'],-6.649541768,11.14491965,223,19577,['familiar_JJ'],-6.455972181,11.38737985
skin_NN,214,21649,"['skin_NN', 'skin_NNS']",-6.6605457789999996,11.01078298,178,21921,"['skin_NN', 'skin_NNS', 'skin_NNP']",-6.944292562,11.71254632
cool_JJ,131,13272,"['cool_JJ', 'cool_JJR', 'cool_JJS']",-6.662675169,11.71882696,283,13272,"['cool_JJ', 'cool_JJR', 'cool_JJS']",-5.551439928,11.04362151
someone_NN,517,53009,"['someone_NN', 'someone_NNS']",-6.679929233999999,9.738229491,1041,52973,['someone_NN'],-5.669215241,9.164525399
nice_JJ,201,20786,"['nice_JJ', 'nice_JJR', 'nice_JJS']",-6.692272845,11.10119827,559,20786,"['nice_JJ', 'nice_JJR', 'nice_JJS']",-5.216620063,10.06157528
anything_NN,506,52768,['anything_NN'],-6.704382109,9.769256387,417,52768,['anything_NN'],-6.98347211,10.48437618
've_VB,993,106163,"[""'ve_VBP"", ""'ve_VB""]",-6.740271612000001,8.796600053999999,1011,106163,"[""'ve_VBP"", ""'ve_VB""]",-6.714354237,9.20671247
'd_MD,483,51923,"[""'d_MD""]",-6.748206742000001,9.836370582999999,588,51923,"[""'d_MD""]",-6.464413776000001,9.988607407
're_VB,1178,127149,"[""'re_VBP""]",-6.7540367660000005,8.550126138,4486,127149,"[""'re_VBP""]",-4.824946685,7.0570658470000005
though_RB,118,12745,['though_RB'],-6.7550007039999995,11.86960691,129,12745,['though_RB'],-6.626416497,12.1770525
while_NN,100,11563,['while_NN'],-6.853371941,12.10839377,127,11563,['while_NN'],-6.508543444,12.19959507
begin_VB,1367,163689,"['begin_VBN', 'begin_VBP', 'begin_VBG', 'begin_VBD', 'begin_VB', 'begin_VBZ']",-6.903800322,8.335452434,1379,163694,"['begin_VBD', 'begin_VBN', 'begin_VBP', 'begin_VBG', 'begin_VB', 'begin_VBZ']",-6.891235176,8.75887301
people_NN,3646,461112,"['people_NNS', 'people_NNPS']",-6.982658839,6.920151116,3462,461112,"['people_NNS', 'people_NNPS']",-7.057367676,7.430889743
way_NN,2600,331260,"['way_NN', 'way_NNS', 'way_NNP']",-6.993308572999999,7.407954054,5456,331425,"['way_NNS', 'way_NN', 'way_NNP', 'way_NNPS']",-5.924694977000001,6.774651822999999
around_RB,99,12700,['around_RB'],-7.003184256,12.12289334,968,12700,['around_RB'],-3.7136776389999997,9.269416515
might_MD,1160,148989,['might_MD'],-7.004937203,8.572340872,1583,148989,['might_MD'],-6.556400752999999,8.559834212
much_RB,900,116288,['much_RB'],-7.013561512999999,8.938468771,1011,116288,['much_RB'],-6.845775422000001,9.20671247
just_RB,2225,295583,['just_RB'],-7.0536141510000006,7.632660341,3731,295583,['just_RB'],-6.307857127,7.322933107000001
start_VB,1029,136997,"['start_VBD', 'start_VBP', 'start_VB', 'start_VBG', 'start_VBZ', 'start_VBN']",-7.056757509,8.745222695,1648,136988,"['start_VBD', 'start_VBZ', 'start_VBG', 'start_VB', 'start_VBP', 'start_VBN']",-6.377189467000001,8.501779225
kid_NN,276,36777,"['kid_NNS', 'kid_NN', 'kid_NNP']",-7.057991723,10.6437255,318,37217,"['kid_NNS', 'kid_NN', 'kid_NNP', 'kid_NNPS']",-6.870791191,10.8753968
wonder_VB,140,18666,"['wonder_VBP', 'wonder_VBG', 'wonder_VBN', 'wonder_VBD', 'wonder_VB', 'wonder_VBZ']",-7.058842163,11.62296694,158,18664,"['wonder_VB', 'wonder_VBG', 'wonder_VBP', 'wonder_VBD', 'wonder_VBN', 'wonder_VBZ']",-6.884189844,11.884499
maybe_RB,203,27391,['maybe_RB'],-7.0760784,11.08691404,223,27391,['maybe_RB'],-6.940514417,11.38737985
